time,src,dst,sport,dport,length,proto,anomaly
17:27:13,10.12.54.253,23.43.51.134,59631,443,54,6,1
17:27:13,10.12.54.253,13.107.136.254,64674,443,54,6,1
17:27:13,10.12.54.253,135.233.41.222,62425,443,54,6,1
17:27:13,10.12.54.253,13.107.42.254,65279,443,54,6,1
17:27:13,10.12.54.253,204.79.197.222,64875,443,54,6,1
17:27:13,13.107.42.254,10.12.54.253,443,65279,60,6,1
17:27:13,13.107.136.254,10.12.54.253,443,64674,60,6,1
17:27:13,13.107.42.254,10.12.54.253,443,65279,60,6,1
17:27:13,13.107.136.254,10.12.54.253,443,64674,60,6,1
17:27:13,204.79.197.222,10.12.54.253,443,64875,60,6,1
17:27:13,204.79.197.222,10.12.54.253,443,64875,60,6,1
17:27:13,10.12.54.253,13.107.42.254,65279,443,54,6,1
17:27:13,10.12.54.253,13.107.136.254,64674,443,54,6,1
17:27:13,10.12.54.253,204.79.197.222,64875,443,54,6,1
17:27:13,23.43.51.134,10.12.54.253,443,59631,60,6,1
17:27:13,135.233.41.222,10.12.54.253,443,62425,60,6,1
17:27:13,10.12.54.253,135.233.41.222,62425,443,54,6,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,364,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,340,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,350,17,1
17:27:13,10.12.13.228,224.0.0.251,5353,5353,100,17,1
17:27:13,10.12.54.253,104.26.12.13,53644,443,55,6,1
17:27:13,10.12.54.253,20.42.65.89,64758,443,55,6,1
17:27:13,104.26.12.13,10.12.54.253,443,53644,66,6,-1
17:27:13,20.42.65.89,10.12.54.253,443,64758,66,6,1
17:27:13,10.12.13.228,224.0.0.251,5353,5353,1473,17,1
17:27:13,10.12.13.228,224.0.0.251,5353,5353,1481,17,1
17:27:13,10.12.13.228,224.0.0.251,5353,5353,611,17,1
17:27:13,10.12.13.228,224.0.0.251,5353,5353,206,17,1
17:27:13,10.12.5.244,224.0.0.22,0,0,54,2,-1
17:27:13,10.12.5.244,224.0.0.251,5353,5353,100,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
17:27:13,10.12.5.244,224.0.0.251,5353,5353,283,17,1
17:27:13,10.12.5.244,224.0.0.251,5353,5353,1487,17,-1
17:27:13,10.12.5.244,224.0.0.251,5353,5353,1479,17,1
17:27:13,10.12.5.244,224.0.0.251,5353,5353,290,17,1
17:27:13,0.0.0.0,255.255.255.255,68,67,342,17,1
